Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
294.8,5.392e+3,1.585e+3,3.807e+3,
295.1,5.636e+3,1.752e+3,3.884e+3,
295.3,5.749e+3,1.878e+3,3.871e+3,
295.6,5.868e+3,2.088e+3,3.780e+3,
295.8,5.933e+3,2.235e+3,3.698e+3,
296.1,6.050e+3,2.453e+3,3.597e+3,
296.3,6.161e+3,2.585e+3,3.576e+3,
296.6,6.404e+3,2.745e+3,3.658e+3,
296.8,6.624e+3,2.818e+3,3.806e+3,
297.1,7.040e+3,2.867e+3,4.173e+3,
297.3,7.361e+3,2.862e+3,4.499e+3,
297.6,7.865e+3,2.814e+3,5.052e+3,
297.8,8.181e+3,2.766e+3,5.415e+3,
298.1,8.553e+3,2.693e+3,5.860e+3,
298.3,8.695e+3,2.656e+3,6.039e+3,
298.6,8.707e+3,2.632e+3,6.075e+3,
298.8,8.576e+3,2.639e+3,5.937e+3,
299.1,8.201e+3,2.686e+3,5.515e+3,
299.3,7.868e+3,2.741e+3,5.126e+3,
299.6,7.316e+3,2.860e+3,4.456e+3,
299.8,6.956e+3,2.966e+3,3.990e+3,
300.1,6.491e+3,3.178e+3,3.313e+3,
300.3,6.253e+3,3.362e+3,2.890e+3,
300.6,6.022e+3,3.713e+3,2.309e+3,
300.8,5.951e+3,3.994e+3,1.957e+3,
301.1,5.943e+3,4.461e+3,1.483e+3,
301.3,5.977e+3,4.774e+3,1.203e+3,
301.6,6.025e+3,5.180e+3,8.458e+2,
301.8,6.017e+3,5.367e+3,6.504e+2,
302.1,5.888e+3,5.465e+3,4.228e+2,
302.3,5.703e+3,5.391e+3,3.123e+2,
302.6,5.277e+3,5.077e+3,2.002e+2,
302.8,4.914e+3,4.759e+3,1.547e+2,
303.1,4.307e+3,4.188e+3,1.190e+2,
303.3,3.900e+3,3.790e+3,1.109e+2,
303.6,3.348e+3,3.234e+3,1.145e+2,
303.8,3.044e+3,2.920e+3,1.243e+2,
304.1,2.705e+3,2.558e+3,1.469e+2,
304.3,2.555e+3,2.389e+3,1.664e+2,
304.6,2.426e+3,2.225e+3,2.016e+2,
304.8,2.388e+3,2.159e+3,2.288e+2,
305.1,2.370e+3,2.095e+3,2.748e+2,
305.3,2.368e+3,2.060e+3,3.082e+2,
305.6,2.356e+3,1.995e+3,3.610e+2,
305.8,2.333e+3,1.937e+3,3.967e+2,
306.1,2.268e+3,1.819e+3,4.490e+2,
306.3,2.203e+3,1.721e+3,4.815e+2,
306.6,2.077e+3,1.553e+3,5.238e+2,
306.8,1.979e+3,1.433e+3,5.459e+2,
307.1,1.819e+3,1.253e+3,5.664e+2,
307.3,1.708e+3,1.139e+3,5.697e+2,
307.6,1.543e+3,9.861e+2,5.568e+2,
307.8,1.437e+3,9.008e+2,5.361e+2,
308.1,1.290e+3,8.014e+2,4.887e+2,
308.3,1.204e+3,7.545e+2,4.490e+2,
308.6,1.095e+3,7.114e+2,3.838e+2,
308.9,1.015e+3,6.943e+2,3.204e+2,
309.1,9.754e+2,6.920e+2,2.834e+2,
309.4,9.324e+2,6.926e+2,2.398e+2,
309.6,9.095e+2,6.898e+2,2.197e+2,
309.9,8.747e+2,6.725e+2,2.022e+2,
310.1,8.468e+2,6.494e+2,1.974e+2,
310.4,7.936e+2,5.969e+2,1.966e+2,
310.6,7.505e+2,5.522e+2,1.983e+2,
310.9,6.781e+2,4.770e+2,2.010e+2,
311.1,6.280e+2,4.262e+2,2.018e+2,
311.4,5.571e+2,3.563e+2,2.008e+2,
311.6,5.159e+2,3.169e+2,1.990e+2,
311.9,4.676e+2,2.714e+2,1.963e+2,
312.1,4.458e+2,2.502e+2,1.956e+2,
312.4,4.292e+2,2.307e+2,1.984e+2,
312.6,4.288e+2,2.248e+2,2.040e+2,
312.9,4.437e+2,2.244e+2,2.193e+2,
313.1,4.638e+2,2.288e+2,2.350e+2,
313.4,5.093e+2,2.417e+2,2.676e+2,
313.6,5.498e+2,2.539e+2,2.959e+2,
313.9,6.259e+2,2.775e+2,3.484e+2,1.238e-24
314.1,6.860e+2,2.962e+2,3.898e+2,5.644e-23
314.4,7.876e+2,3.276e+2,4.600e+2,5.214e-22
314.6,8.602e+2,3.498e+2,5.103e+2,2.210e-21
314.9,9.705e+2,3.832e+2,5.873e+2,1.822e-20
315.1,1.041e+3,4.042e+2,6.371e+2,7.160e-20
315.4,1.138e+3,4.321e+2,7.061e+2,5.268e-19
315.6,1.195e+3,4.478e+2,7.473e+2,1.919e-18
315.9,1.269e+3,4.673e+2,8.022e+2,1.260e-17
316.1,1.314e+3,4.785e+2,8.356e+2,4.253e-17
316.4,1.380e+3,4.949e+2,8.849e+2,2.492e-16
316.6,1.427e+3,5.074e+2,9.196e+2,7.797e-16
316.9,1.509e+3,5.318e+2,9.777e+2,4.077e-15
317.1,1.574e+3,5.531e+2,1.021e+3,1.182e-14
317.4,1.688e+3,5.938e+2,1.094e+3,5.515e-14
317.6,1.772e+3,6.271e+2,1.145e+3,1.482e-13
317.9,1.905e+3,6.854e+2,1.220e+3,6.170e-13
318.1,1.995e+3,7.292e+2,1.266e+3,1.537e-12
318.4,2.124e+3,8.010e+2,1.323e+3,5.708e-12
318.6,2.202e+3,8.525e+2,1.350e+3,1.318e-11
318.9,2.307e+3,9.351e+2,1.372e+3,4.367e-11
319.1,2.371e+3,9.946e+2,1.376e+3,9.343e-11
319.4,2.464e+3,1.093e+3,1.371e+3,2.762e-10
319.6,2.531e+3,1.167e+3,1.364e+3,5.477e-10
319.9,2.653e+3,1.293e+3,1.360e+3,1.444e-9
