,Wavelength,Sum,Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
429,252.08,1.1019999999999999e-27,0,1.1019999999999999e-27,0
430,252.13,5.461e-28,0,5.461e-28,0
431,252.18,2.499e-28,0,2.499e-28,0
432,252.23,1.057e-28,0,1.057e-28,0
433,252.28,4.1299999999999995e-29,0,4.1299999999999995e-29,0
434,252.33,1.491e-29,0,1.491e-29,0
435,252.38,4.9699999999999996e-30,0,4.9699999999999996e-30,0
436,252.43,1.5359999999999999e-30,0,1.5359999999999999e-30,0
437,252.48,4.376e-31,0,4.376e-31,0
438,252.53,1.1529999999999999e-31,0,1.1529999999999999e-31,0
439,252.58,2.806e-32,0,2.806e-32,0
440,252.63,6.309999999999999e-33,0,6.309999999999999e-33,0
441,252.68,1.322e-33,0,1.322e-33,0
442,252.73,3.3099999999999996e-34,0,3.3099999999999996e-34,0
443,252.78,5.497e-34,0,5.497e-34,0
444,252.83,2.9889999999999998e-33,0,2.9889999999999998e-33,0
445,252.88,1.628e-32,0,1.628e-32,0
446,252.93,8.232e-32,0,8.232e-32,0
447,252.98,3.852e-31,0,3.852e-31,0
448,253.03,1.666e-30,0,1.666e-30,0
449,253.08,6.67e-30,0,6.67e-30,0
450,253.13,2.4759999999999998e-29,0,2.4759999999999998e-29,0
451,253.18,8.494999999999999e-29,0,8.494999999999999e-29,0
452,253.23,2.696e-28,0,2.696e-28,0
453,253.28,7.922000000000001e-28,0,7.922000000000001e-28,0
454,253.33,2.153e-27,0,2.153e-27,0
455,253.38,5.42e-27,0,5.42e-27,0
456,253.43,1.262e-26,0,1.262e-26,0
457,253.48,2.7180000000000006e-26,0,2.7180000000000006e-26,0
458,253.53,5.41e-26,0,5.41e-26,0
459,253.58,1e-25,0,1e-25,0
460,253.63,1.706e-25,0,1.706e-25,0
461,253.68,2.698e-25,0,2.698e-25,0
462,253.73,3.9439999999999994e-25,0,3.9439999999999994e-25,0
463,253.78,5.336e-25,0,5.336e-25,0
464,253.83,6.683e-25,0,6.683e-25,0
465,253.88,7.744e-25,0,7.744e-25,0
466,253.93,8.302e-25,0,8.302e-25,0
467,253.98,8.237999999999999e-25,0,8.237999999999999e-25,0
468,254.03,7.565000000000001e-25,0,7.565000000000001e-25,0
469,254.08,6.429e-25,0,6.429e-25,0
470,254.13,5.0549999999999995e-25,0,5.0549999999999995e-25,0
471,254.18,3.679e-25,0,3.679e-25,0
472,254.23,2.476e-25,0,2.476e-25,0
473,254.28,1.543e-25,0,1.543e-25,0
474,254.33,8.903e-26,0,8.903e-26,0
475,254.38,4.751e-26,0,4.751e-26,0
476,254.43,2.3469999999999997e-26,0,2.3469999999999997e-26,0
477,254.48,1.0779999999999999e-26,0,1.0779999999999999e-26,0
478,254.53,4.684000000000001e-27,0,4.684000000000001e-27,0
479,254.58,2.15e-27,0,2.15e-27,0
480,254.63,1.5499999999999997e-27,0,1.5499999999999997e-27,0
481,254.68,4.24e-14,4.24e-14,2.238e-27,0
482,254.73,4.327e-13,4.327e-13,4.196e-27,0
483,254.78,4.091e-12,4.091e-12,7.831e-27,0
484,254.83,3.584e-11,3.584e-11,1.368e-26,0
485,254.88,2.9110000000000006e-10,2.9110000000000006e-10,2.22e-26,0
486,254.93,2.19e-09,2.19e-09,3.333999999999999e-26,0
487,254.98,1.527e-08,1.527e-08,4.6399999999999995e-26,0
488,255.03,9.867000000000001e-08,9.867000000000001e-08,5.977999999999999e-26,0
489,255.08,5.909e-07,5.909e-07,7.134e-26,0
490,255.13,3.278e-06,3.278e-06,7.883999999999999e-26,0
491,255.18,1.686e-05,1.686e-05,8.071e-26,0
492,255.23,8.03e-05,8.03e-05,7.662999999999999e-26,0
493,255.28,0.0003545,0.0003545,6.762e-26,0
494,255.33,0.001451,0.001451,5.597999999999999e-26,0
495,255.38,0.0055,0.0055,4.465e-26,0
496,255.43,0.01932,0.01932,3.692e-26,0
497,255.48,0.06292,0.06292,3.615e-26,0
498,255.53,0.1897,0.1897,4.5949999999999996e-26,0
499,255.58,0.5306,0.5306,6.991e-26,0
