,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
243,213.17,2.491,2.491,3.113e-06,7.316e-15
244,213.22,4.282,4.282,6.446999999999999e-07,2.642e-14
245,213.27,6.597,6.597,1.199e-07,8.552000000000001e-14
246,213.32,9.109,9.109,2.003e-08,2.482e-13
247,213.37,11.27,11.27,3.004e-09,6.458e-13
248,213.42,12.5,12.5,4.0439999999999997e-10,1.5069999999999997e-12
249,213.47,12.43,12.43,4.884e-11,3.1510000000000002e-12
250,213.52,11.07,11.07,5.2899999999999995e-12,5.907e-12
251,213.57,8.837,8.837,5.14e-13,9.927999999999999e-12
252,213.62,6.3229999999999995,6.3229999999999995,4.478e-14,1.4960000000000002e-11
253,213.67,4.055,4.055,3.497e-15,2.0210000000000004e-11
254,213.72,2.33,2.33,2.4390000000000003e-16,2.4480000000000002e-11
255,213.77,1.2,1.2,1.44e-17,2.6579999999999997e-11
256,213.82,0.5541,0.5541,0,2.587e-11
257,213.87,0.2292,0.2292,0,2.258e-11
258,213.92,0.08499,0.08499,0,1.766e-11
259,213.97,0.028239999999999998,0.028239999999999998,0,1.239e-11
260,214.02,0.008411,0.008411,0,7.79e-12
261,214.07,0.002245,0.002245,0,4.391e-12
262,214.12,0.000537,0.000537,0,2.2189999999999997e-12
263,214.17,0.0001151,0.0001151,0,1.0060000000000002e-12
264,214.22,2.212e-05,2.212e-05,0,4.085e-13
265,214.27,3.809e-06,3.809e-06,0,1.487e-13
266,214.32,5.878e-07,5.878e-07,0,4.8560000000000003e-14
267,214.37,8.129e-08,8.129e-08,0,1.421e-14
268,214.42,1.008e-08,1.008e-08,0,3.7299999999999995e-15
269,214.47,1.119e-09,1.119e-09,0,8.773999999999999e-16
270,214.52,1.1140000000000001e-10,1.1140000000000001e-10,0,1.85e-16
271,214.57,9.943999999999999e-12,9.943999999999999e-12,0,3.498e-17
272,214.62,7.952e-13,7.952e-13,0,5.93e-18
273,214.67,5.698999999999999e-14,5.698999999999999e-14,0,9.011e-19
274,214.72,3.66e-15,3.66e-15,0,1.2279999999999998e-19
275,214.77,1.4990000000000002e-20,0,0,1.4990000000000002e-20
276,214.82,1.642e-21,0,0,1.642e-21
277,214.87,1.612e-22,0,0,1.612e-22
278,214.92,1.418e-23,0,0,1.418e-23
279,214.97,1.119e-24,0,0,1.119e-24
280,215.02,7.914e-26,0,0,7.914e-26
281,215.07,5.018e-27,0,0,5.018e-27
282,219.87,3.239e-22,0,3.239e-22,0
283,219.92,4.861e-21,0,4.861e-21,0
284,219.97,6.979e-20,0,6.979e-20,0
285,220.02,8.528000000000001e-19,0,8.528000000000001e-19,0
286,220.07,9.448e-18,0,9.448e-18,0
287,220.12,9.496999999999999e-17,0,9.496999999999999e-17,0
288,220.17,8.67e-16,0,8.67e-16,0
289,220.22,7.195e-15,0,7.195e-15,0
290,220.27,5.4329999999999994e-14,0,5.4329999999999994e-14,0
291,220.32,3.736e-13,0,3.736e-13,0
292,220.37,2.343e-12,0,2.343e-12,0
293,220.42,1.341e-11,0,1.341e-11,0
294,220.47,7.006e-11,0,7.006e-11,0
