,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
333,218.37,5.457999999999999e-16,0,5.457999999999999e-16,0
334,218.42,1.448e-16,0,1.448e-16,0
335,218.47,3.462e-17,0,3.462e-17,0
336,218.52,7.488999999999999e-18,0,7.488999999999999e-18,0
337,218.57,1.8680000000000004e-18,0,1.8680000000000004e-18,0
338,218.62,4.874e-18,0,4.874e-18,0
339,218.67,4.5600000000000004e-17,0,4.5600000000000004e-17,0
340,218.72,4.0489999999999993e-16,0,4.0489999999999993e-16,0
341,218.77,3.2450000000000005e-15,0,3.2450000000000005e-15,0
342,218.82,2.345e-14,0,2.345e-14,0
343,218.87,1.528e-13,0,1.528e-13,0
344,218.92,8.973e-13,0,8.973e-13,0
345,218.97,4.752e-12,0,4.752e-12,0
346,219.02,2.269e-11,0,2.269e-11,0
347,219.07,9.771e-11,0,9.771e-11,0
348,219.12,3.7929999999999997e-10,0,3.7929999999999997e-10,0
349,219.17,1.328e-09,0,1.328e-09,0
350,219.22,4.19e-09,0,4.19e-09,0
351,219.27,1.192e-08,0,1.192e-08,0
352,219.32,3.059e-08,0,3.059e-08,0
353,219.37,7.077e-08,0,7.077e-08,0
354,219.42,1.476e-07,0,1.476e-07,0
355,219.47,2.776e-07,0,2.776e-07,0
356,219.52,4.707e-07,0,4.707e-07,0
357,219.57,7.196e-07,0,7.196e-07,0
358,219.62,9.92e-07,0,9.92e-07,0
359,219.67,1.2329999999999999e-06,0,1.2329999999999999e-06,0
360,219.72,1.3819999999999999e-06,0,1.3819999999999999e-06,0
361,219.77,1.397e-06,0,1.397e-06,0
362,219.82,1.274e-06,0,1.274e-06,0
363,219.87,1.051e-06,0,1.051e-06,0
364,219.92,7.895999999999999e-07,0,7.895999999999999e-07,0
365,219.97,5.543e-07,0,5.543e-07,0
366,220.02,3.918e-07,0,3.918e-07,0
367,220.07,3.262e-07,0,3.262e-07,0
368,220.12,3.624e-07,0,3.624e-07,0
369,220.17,4.932e-07,0,4.932e-07,0
370,220.22,7.057e-07,0,7.057e-07,7.997000000000001e-44
371,220.27,9.855e-07,0,9.855e-07,1.213e-42
372,220.32,1.321e-06,0,1.321e-06,1.6619999999999998e-41
373,220.37,1.702e-06,0,1.702e-06,2.057e-40
374,220.42,2.1109999999999998e-06,0,2.1109999999999998e-06,2.298e-39
375,220.47,2.51e-06,0,2.51e-06,2.3199999999999996e-38
376,220.52,2.8319999999999997e-06,0,2.8319999999999997e-06,2.115e-37
377,220.57,2.995e-06,0,2.995e-06,1.7419999999999998e-36
378,220.62,2.935e-06,0,2.935e-06,1.295e-35
379,220.67,2.642e-06,0,2.642e-06,8.701999999999999e-35
380,220.72,2.17e-06,0,2.17e-06,5.281e-34
381,220.77,1.621e-06,0,1.621e-06,2.8949999999999997e-33
382,220.82,1.097e-06,0,1.097e-06,1.434e-32
383,220.87,6.716e-07,0,6.716e-07,6.413999999999999e-32
384,220.92,3.718e-07,0,3.718e-07,2.593e-31
385,220.97,1.859e-07,0,1.859e-07,9.473999999999999e-31
386,221.02,8.394e-08,0,8.394e-08,3.1289999999999997e-30
387,221.07,3.422e-08,0,3.422e-08,9.344999999999999e-30
388,221.12,1.259e-08,0,1.259e-08,2.526e-29
389,221.17,4.181e-09,0,4.181e-09,6.185e-29
390,221.22,1.253e-09,0,1.253e-09,1.3750000000000001e-28
391,221.27,3.39e-10,0,3.39e-10,2.783e-28
392,221.32,8.276000000000001e-11,0,8.276000000000001e-11,5.157999999999999e-28
393,221.37,1.823e-11,0,1.823e-11,8.841e-28
394,221.42,3.6249999999999996e-12,0,3.6249999999999996e-12,1.423e-27
395,221.47,6.505e-13,0,6.505e-13,2.202e-27
396,221.52,1.053e-13,0,1.053e-13,3.361e-27
397,221.57,1.539e-14,0,1.539e-14,5.169e-27
398,221.62,2.0300000000000002e-15,0,2.0300000000000002e-15,8.041e-27
399,221.67,2.4159999999999997e-16,0,2.4159999999999997e-16,1.248e-26
400,221.72,2.5940000000000002e-17,0,2.5940000000000002e-17,1.891e-26
401,221.77,2.514e-18,0,2.514e-18,2.748999999999999e-26
402,221.82,2.199e-19,0,2.199e-19,3.797e-26
403,221.87,1.736e-20,0,1.736e-20,4.978e-26
404,221.92,1.236e-21,0,1.236e-21,6.216e-26
405,221.97,7.431e-26,0,0,7.431e-26
406,222.02,8.548e-26,0,0,8.548e-26
407,222.07,9.493e-26,0,0,9.493e-26
408,222.12,1.022e-25,0,0,1.022e-25
409,222.17,1.074e-25,0,0,1.074e-25
410,222.22,1.114e-25,0,0,1.114e-25
411,222.27,1.154e-25,0,0,1.154e-25
412,222.32,1.203e-25,0,0,1.203e-25
413,222.37,1.2609999999999999e-25,0,0,1.2609999999999999e-25
414,222.42,1.351e-25,0,0,1.351e-25
415,222.47,1.634e-25,0,0,1.634e-25
416,222.52,2.72e-25,0,0,2.72e-25
417,222.57,6.485e-25,0,0,6.485e-25
