Wavelength;Al;Bb;Ca;Cc;Cll;Ff;Kk;li;Na;Nn;Oo;Ti;;
212.57;1185.0;0,00653;621.0;0,00000977;0;0;13,3;29921;2,11E-29;5,73E-18;35200000;0.2153;;
212.62;811.6;0,000609;1450.0;25800000;0;0;1,12E-13;19.48;2,61E-16;0,000000479;5360000;0.1402;;
212.67;696.7;506000000;3022.0;6.16e-10;0;0;8,45E-15;43158;3,15E-29;9,43E-20;0,00000727;0.08256000000000001;;
212.72;837.9;0,00000375;5628.0;0,000000133;0;0;5.67e-19;34.73;3,8E-29;4,86E-20;0,00000882;0.04401;;
212.77;1197.0;0,000000248;9359.0;260000;0;0;3,4E-17;40.51;4,58E-29;2.25e-23;0,00000955;0.021230000000000002;;
212.82;1696.0;146000;13900.0;4,59E-09;0;0;0,0000482;43.16;5,38E-29;9,4E-21;9230000;0.009271;;
212.87;2214.0;2,94E-14;18440.0;7,28E-10;0;0;0,0000747;42.0;6E-29;3,71E-21;0,00000796;0.0036630000000000005;;
212.92;2610.0;4,74E-13;21850.0;1.04e-13;0;0;1,04E-15;37.33;6,21E-29;1,87E-21;0,00000614;0.00131;;
212.97;2771.0;67,4;23120.0;134;0;0;1,29E-14;30.31;5,87E-29;2,24E-21;0,00000422;0.00042380000000000006;;
213.02;2664.0;8,56E-11;21850.0;1,81E-12;0;0;1,43;22.47;5,02E-29;4,62E-21;0,0000026;0.00012409999999999998;;
213.07;2365.0;9,75E-10;18440.0;2,56E-12;0;0;1.42e-15;15.22;3.88e-32;9.79e-24;0,00000142;0,0329;;
213.12;2038.0;9,93E-09;13900.0;1,88E-11;0;0;1,26E-11;9412;2,71E-16;0,00000019;698000;0,00789;;
213.17;1883.0;90700;9359.0;1,31E-10;0;0;1,01E-10;5322;1,72E-29;0,000000333;0,000000305;17100000000;;
213.22;2058.0;0,000000742;5628.0;8,23E-10;0;0;7,17E-10;2765;1,01E-16;5,26E-20;0,000000119;0,000336;;
213.27;2619.0;5.44e-09;3025.0;4,62E-09;0;0;4,58E-09;1,362E+16;5,73E-30;7,47E-08;4,18E-08;0,0000598;;
213.32;3482.0;0,0000357;1460.0;2,33E-08;0;0;2,61E-08;0.7552;3,27E-30;9,55E-08;134000;9610000;;
213.37;4428.0;0,00021;659.1;0,000000106;0;0;0,000000133;0.7396;1,98E-17;3,14E-19;51100;14000000;;
213.42;5168.0;0,00111;364.4;4300000;0;0;0,00000061;1324;1,3E-17;3,49E-18;5040;0,000000184;;
213.47;5449.0;5.26e-06;458.3;0,00000158;0;0;0,0000025;2748;9,09E-19;5,03E-17;105000;220000;;
213.52;5162.0;0,0223;1028.0;5.2e-09;0;0;0,00000914;5445;6,61E-31;6,69E-16;234000;2,37E-09;;
