,Wavelength,Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
1835,297.9,3.3439999999999995e-10,3.2910000000000003e-10,0,5.279e-12
1836,297.95,1.921e-09,1.906e-09,0,1.511e-11
1837,298.0,1.0469999999999999e-08,1.043e-08,0,4.093e-11
1838,298.05,5.4129999999999996e-08,5.4029999999999995e-08,0,1.048e-10
1839,298.1,2.649e-07,2.6460000000000003e-07,0,2.54e-10
1840,298.15,1.226e-06,1.226e-06,0,5.822999999999999e-10
1841,298.2,5.372e-06,5.371e-06,0,1.2629999999999999e-09
1842,298.25,2.226e-05,2.226e-05,0,2.591e-09
1843,298.3,8.724e-05,8.724e-05,0,5.029e-09
1844,298.35,0.0003234,0.0003234,0,9.235e-09
1845,298.4,0.001134,0.001134,0,1.605e-08
1846,298.45,0.0037619999999999997,0.0037619999999999997,0,2.638e-08
1847,298.5,0.01181,0.01181,0,4.104e-08
1848,298.55,0.035039999999999995,0.035039999999999995,0,6.041000000000001e-08
1849,298.6,0.09842000000000001,0.09842000000000001,0,8.415e-08
1850,298.65,0.2615,0.2615,0,1.109e-07
1851,298.7,0.6576,0.6576,0,1.384e-07
1852,298.75,1.565,1.565,0,1.634e-07
1853,298.8,3.525,3.525,0,1.827e-07
1854,298.85,7.517,7.517,0,1.932e-07
1855,298.9,15.18,15.18,0,1.935e-07
1856,298.95,29.06,29.06,0,1.834e-07
1857,299.0,52.72,52.72,0,1.646e-07
1858,299.05,90.72,90.72,0,1.398e-07
1859,299.1,148.2,148.2,0,1.125e-07
1860,299.15,230.1,230.1,0,8.564e-08
1861,299.2,339.8,339.8,0,6.175e-08
1862,299.25,478.3,478.3,0,4.215e-08
1863,299.3,642.9,642.9,0,2.7250000000000002e-08
1864,299.35,826.9,826.9,0,1.668e-08
1865,299.4,1021.0,1021.0,0,9.669e-09
1866,299.45,1214.0,1214.0,0,5.308e-09
1867,299.5,1395.0,1395.0,0,2.7589999999999997e-09
1868,299.55,1557.0,1557.0,0,1.358e-09
1869,299.6,1697.0,1697.0,0,6.332e-10
1870,299.65,1815.0,1815.0,0,2.7960000000000005e-10
1871,299.7,1914.0,1914.0,0,1.169e-10
1872,299.75,1999.0,1999.0,0,4.629e-11
1873,299.8,2071.0,2071.0,0,1.736e-11
1874,299.85,2129.0,2129.0,0,6.165e-12
1875,299.9,2167.0,2167.0,0,2.074e-12
1876,299.95,2174.0,2174.0,0,6.604e-13
1877,300.0,2141.0,2141.0,0,1.992e-13
1878,300.05,2061.0,2061.0,0,5.687999999999999e-14
1879,300.1,1938.0,1938.0,0,1.538e-14
1880,300.15,1785.0,1785.0,0,3.939e-15
1881,300.2,1629.0,1629.0,0,9.549e-16
1882,300.25,1502.0,1502.0,0,2.1919999999999997e-16
1883,300.3,1442.0,1442.0,0,4.7639999999999996e-17
1884,300.35,1476.0,1476.0,0,9.801e-18
1885,300.4,1619.0,1619.0,0,1.909e-18
1886,300.45,1868.0,1868.0,0,3.5189999999999993e-19
1887,300.5,2196.0,2196.0,0,6.142e-20
1888,300.55,2560.0,2560.0,0,1.0149999999999998e-20
1889,300.6,2906.0,2906.0,0,1.5869999999999998e-21
1890,300.65,3180.0,3180.0,0,2.348e-22
1891,300.7,3338.0,3338.0,0,2.77e-23
1892,300.75,3357.0,3357.0,0,3.717e-24
1893,300.8,3234.0,3234.0,0,0
1894,300.85,2986.0,2986.0,0,0
1895,300.9,2646.0,2646.0,0,0
1896,300.95,2252.0,2252.0,0,0
1897,301.0,1842.0,1842.0,0,0
1898,301.05,1450.0,1450.0,0,8.123e-24
1899,301.1,1097.0,1097.0,0,5.686999999999999e-23
1900,301.15,797.3,797.3,0,3.7699999999999997e-22
1901,301.2,556.4,556.4,0,2.3669999999999997e-21
1902,301.25,372.3,372.3,0,1.4069999999999998e-20
1903,301.3,238.5,238.5,0,7.922e-20
1904,301.35,146.0,146.0,0,4.222999999999999e-19
1905,301.4,85.29,85.29,0,2.132e-18
1906,301.45,47.48,47.48,0,1.019e-17
1907,301.5,25.16,25.16,0,4.613e-17
1908,301.55,12.67,12.67,0,1.977e-16
1909,301.6,6.063,6.063,0,8.026e-16
1910,301.65,2.753,2.753,0,3.0850000000000002e-15
1911,301.7,1.186,1.186,0,1.123e-14
1912,301.75,0.4842,0.4842,0,3.87e-14
1913,301.8,0.1874,0.1874,0,1.263e-13
1914,301.85,0.0687,0.0687,0,3.904e-13
1915,301.9,0.02386,0.02386,0,1.143e-12
1916,301.95,0.007844,0.007844,0,3.167e-12
1917,302.0,0.002442,0.002442,0,8.311e-12
1918,302.05,0.0007197,0.0007197,0,2.065e-11
1919,302.1,0.0002008,0.0002008,0,4.86e-11
1920,302.15,5.302e-05,5.302e-05,0,1.0829999999999999e-10
1921,302.2,1.325e-05,1.325e-05,0,2.286e-10
1922,302.25,3.135e-06,3.134e-06,0,4.5679999999999996e-10
1923,302.3,7.023999999999999e-07,7.016e-07,0,8.642999999999999e-10
1924,302.35,1.502e-07,1.486e-07,0,1.5490000000000001e-09
1925,302.4,3.242e-08,2.98e-08,0,2.6279999999999996e-09
1926,302.45,9.876e-09,5.653e-09,0,4.223e-09
1927,302.5,7.44e-09,1.0150000000000001e-09,0,6.425e-09
1928,302.55,9.429999999999999e-09,1.7240000000000002e-10,0,9.258e-09
1929,302.6,1.266e-08,2.7719999999999996e-11,0,1.263e-08
1930,302.65,1.632e-08,4.2169999999999995e-12,0,1.632e-08
1931,302.7,1.997e-08,6.072e-13,0,1.997e-08
1932,302.75,2.3130000000000003e-08,8.272e-14,0,2.3130000000000003e-08
1933,302.8,2.5380000000000003e-08,0,0,2.5380000000000003e-08
1934,302.85,2.637e-08,0,0,2.637e-08
