,Wavelength,Sum,Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
4880,496.56,0.022330000000000003,0.013919999999999998,0.008414,0
4881,496.61,0.03147,0.021480000000000003,0.009993,0
4882,496.66,0.04412,0.03249,0.01163,0
4883,496.71,0.06143,0.04816,0.013269999999999999,0
4884,496.76,0.0848,0.06997,0.014830000000000001,0
4885,496.81,0.1159,0.09962,0.01624,0
4886,496.86,0.1564,0.139,0.01744,0
4887,496.91,0.2084,0.1901,0.018340000000000002,0
4888,496.96,0.2736,0.2547,0.01891,0
4889,497.01,0.3536,0.3345,0.0191,0
4890,497.06,0.4495,0.4306,0.01891,0
4891,497.11,0.5614,0.5431,0.018340000000000002,0
4892,497.16,0.6887,0.6713,0.01744,0
4893,497.21,0.8295,0.8132,0.01624,0
4894,497.26,0.9803,0.9655,0.014830000000000001,0
4895,497.31,1.137,1.123,0.013269999999999999,0
4896,497.36,1.2919999999999998,1.281,0.01163,0
4897,497.41,1.4409999999999998,1.431,0.009993,0
4898,497.46,1.5759999999999998,1.567,0.008414,0
4899,497.51,1.689,1.682,0.006942,0
4900,497.56,1.775,1.7690000000000001,0.005613,0
4901,497.61,1.828,1.824,0.0044469999999999996,0
4902,497.66,1.845,1.8419999999999999,0.003453,0
4903,497.71,1.8259999999999998,1.824,0.002627,0
4904,497.76,1.771,1.7690000000000001,0.001959,0
4905,497.81,1.6840000000000002,1.682,0.0014320000000000001,0
4906,497.86,1.568,1.567,0.001025,0
4907,497.91,1.432,1.431,0.0007197999999999999,0
4908,497.96,1.281,1.281,0.0004957,0
4909,498.01,1.124,1.123,0.0003353,0
4910,498.06,0.9657,0.9655,0.00022370000000000002,0
4911,498.11,0.8134,0.8132,0.00014890000000000001,0
4912,498.16,0.6714,0.6713,0.00010170000000000002,0
4913,498.21,0.5431,0.5431,7.576e-05,0
4914,498.26,0.4306,0.4306,6.742e-05,0
4915,498.31,0.3346,0.3345,7.558e-05,0
4916,498.36,0.2548,0.2547,0.00010170000000000002,0
4917,498.41,0.1902,0.1901,0.00015,0
4918,498.46,0.1392,0.139,0.00022769999999999998,0
4919,498.51,0.09997,0.09962,0.0003451,0
4920,498.56,0.07049,0.06997,0.0005162999999999999,0
4921,498.61,0.04892,0.04816,0.000759,0
4922,498.66,0.033589999999999995,0.03249,0.0010949999999999998,0
4923,498.71,0.023030000000000002,0.021480000000000003,0.0015480000000000001,0
4924,498.76,0.016059999999999998,0.013919999999999998,0.002146,0
4925,498.81,0.01175,0.008836,0.002915,0
4926,498.86,0.00938,0.005497999999999999,0.003882,0
4927,498.91,0.00842,0.003353,0.005068,0
4928,498.96,0.008487999999999999,0.0020039999999999997,0.006484,0
4929,499.01,0.009304999999999999,0.001173,0.008131999999999999,0
4930,499.06,0.01067,0.0006735,0.009995,0
4931,499.11,0.01242,0.0003789,0.01204,0
4932,499.16,0.014430000000000002,0.0002089,0.014219999999999998,0
4933,499.21,0.016569999999999998,0.00011279999999999999,0.01646,0
4934,499.26,0.01874,5.974e-05,0.018680000000000002,0
4935,499.31,0.0208,3.099e-05,0.02077,0
4936,499.36,0.02265,1.576e-05,0.02264,0
4937,499.41,0.02419,7.854e-06,0.02418,0
4938,499.46,0.025330000000000002,3.836e-06,0.025330000000000002,0
4939,499.51,0.026,1.8359999999999999e-06,0.02599,0
4940,499.56,0.02615,8.61e-07,0.02615,0
4941,499.61,0.025789999999999997,3.958e-07,0.025789999999999997,0
4942,499.66,0.024919999999999998,1.7829999999999998e-07,0.024919999999999998,0
4943,499.71,0.02361,7.871000000000001e-08,0.02361,0
4944,499.76,0.02192,3.406e-08,0.02192,0
4945,499.81,0.01995,1.4439999999999999e-08,0.01995,0
4946,499.86,0.0178,6e-09,0.0178,0
4947,499.91,0.01556,2.443e-09,0.01556,0
4948,499.96,0.013340000000000001,9.752000000000001e-10,0.013340000000000001,0
4949,500.01,0.0112,3.814e-10,0.0112,0
4950,500.06,0.009226,1.462e-10,0.009226,0
4951,500.11,0.007445,5.4909999999999994e-11,0.007445,0
4952,500.16,0.005889,2.022e-11,0.005889,0
4953,500.21,0.004566,7.293e-12,0.004566,0
4954,500.26,0.0034700000000000004,2.579e-12,0.0034700000000000004,0
4955,500.31,0.002585,8.934e-13,0.002585,0
4956,500.36,0.001887,3.034e-13,0.001887,0
4957,500.41,0.001351,1.01e-13,0.001351,0
4958,500.46,0.0009472999999999999,3.293e-14,0.0009472999999999999,0
4959,500.51,0.0006513,1.052e-14,0.0006513,0
4960,500.56,0.00043889999999999993,3.296e-15,0.00043889999999999993,0
4961,500.61,0.00028989999999999995,1.0119999999999999e-15,0.00028989999999999995,0
4962,500.66,0.00018769999999999998,3.044e-16,0.00018769999999999998,0
