,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
1390,445.89,9.634e-09,9.634e-09,0
1391,445.94,5.2090000000000005e-09,5.2090000000000005e-09,0
1392,445.99,2.747e-09,2.747e-09,0
1393,446.04,1.4130000000000002e-09,1.4130000000000002e-09,0
1394,446.09,7.085e-10,7.085e-10,0
1395,446.14,3.465e-10,3.465e-10,0
1396,446.19,1.653e-10,1.653e-10,0
1397,446.24,7.687e-11,7.687e-11,0
1398,446.29,3.487e-11,3.487e-11,0
1399,446.34,1.543e-11,1.543e-11,0
1400,446.39,6.655000000000001e-12,6.655000000000001e-12,0
1401,446.44,2.7999999999999998e-12,2.7999999999999998e-12,0
1402,446.49,1.149e-12,1.149e-12,0
1403,446.54,4.595e-13,4.595e-13,0
1404,446.59,1.793e-13,1.793e-13,0
1405,446.64,6.822e-14,6.822e-14,0
1406,446.69,2.5309999999999998e-14,2.5309999999999998e-14,0
1407,446.74,9.159999999999999e-15,9.159999999999999e-15,0
1408,446.79,3.232e-15,3.232e-15,0
1409,446.84,1.112e-15,1.112e-15,0
1410,446.89,3.732e-16,3.732e-16,0
1411,446.94,1.2209999999999998e-16,1.2209999999999998e-16,0
1412,446.99,3.898e-17,3.898e-17,0
1413,447.04,1.2130000000000001e-17,1.2130000000000001e-17,0
1414,447.09,3.681e-18,3.681e-18,0
1415,447.14,1.089e-18,1.089e-18,0
1416,447.19,3.144e-19,3.144e-19,0
1417,447.24,8.849e-20,8.849e-20,0
1418,447.29,2.428e-20,2.428e-20,0
1419,447.34,6.499e-21,6.499e-21,0
1420,447.39,1.358e-21,1.358e-21,0
1421,476.05,2.823e-17,2.823e-17,0
1422,476.1,9.841999999999999e-17,9.841999999999999e-17,0
1423,476.15,3.358e-16,3.358e-16,0
1424,476.2,1.121e-15,1.121e-15,0
1425,476.25,3.661e-15,3.661e-15,0
1426,476.3,1.17e-14,1.17e-14,0
1427,476.35,3.658e-14,3.658e-14,0
1428,476.4,1.119e-13,1.119e-13,0
1429,476.45,3.35e-13,3.35e-13,0
1430,476.5,9.811e-13,9.811e-13,0
1431,476.55,2.8110000000000004e-12,2.8110000000000004e-12,0
1432,476.6,7.883e-12,7.883e-12,0
1433,476.65,2.163e-11,2.163e-11,0
1434,476.7,5.8049999999999996e-11,5.8049999999999996e-11,0
1435,476.75,1.525e-10,1.525e-10,0
1436,476.8,3.918e-10,3.918e-10,0
1437,476.85,9.851e-10,9.851e-10,0
1438,476.9,2.423e-09,2.423e-09,0
1439,476.95,5.834e-09,5.834e-09,0
1440,477.0,1.3740000000000001e-08,1.3740000000000001e-08,0
1441,477.05,3.166000000000001e-08,3.166000000000001e-08,0
1442,477.1,7.138999999999999e-08,7.138999999999999e-08,0
1443,477.15,1.575e-07,1.575e-07,0
1444,477.2,3.399e-07,3.399e-07,0
1445,477.25,7.179999999999999e-07,7.179999999999999e-07,0
1446,477.3,1.4840000000000001e-06,1.4840000000000001e-06,0
1447,477.35,3e-06,3e-06,0
1448,477.4,5.935e-06,5.935e-06,0
1449,477.45,1.149e-05,1.149e-05,0
1450,477.5,2.176e-05,2.176e-05,0
1451,477.55,4.032e-05,4.032e-05,0
1452,477.6,7.31e-05,7.31e-05,0
1453,477.65,0.00012969999999999998,0.00012969999999999998,0
1454,477.7,0.0002251,0.0002251,0
1455,477.75,0.00038229999999999997,0.00038229999999999997,0
1456,477.8,0.0006353,0.0006353,0
1457,477.85,0.001033,0.001033,0
1458,477.9,0.001643,0.001643,0
1459,477.95,0.002558,0.002558,0
1460,478.0,0.003896,0.003896,0
1461,478.05,0.005804999999999999,0.005804999999999999,0
1462,478.1,0.008464,0.008464,0
1463,478.15,0.01208,0.01208,0
1464,478.2,0.01685,0.01685,0
1465,478.25,0.02302,0.02302,0
1466,478.3,0.030760000000000003,0.030760000000000003,0
1467,478.35,0.04022,0.04022,0
1468,478.4,0.05145,0.05145,0
1469,478.45,0.0644,0.0644,0
1470,478.5,0.07887999999999999,0.07887999999999999,0
1471,478.56,0.09774,0.09774,0
1472,478.61,0.1141,0.1141,0
1473,478.66,0.1303,0.1303,0
1474,478.71,0.1457,0.1457,0
1475,478.76,0.1593,0.1593,0
1476,478.81,0.1704,0.1704,0
1477,478.86,0.1784,0.1784,0
1478,478.91,0.1827,0.1827,0
1479,478.96,0.1831,0.1831,0
1480,479.01,0.1796,0.1796,0
1481,479.06,0.1723,0.1723,0
1482,479.11,0.1617,0.1617,0
1483,479.16,0.1485,0.1485,0
1484,479.21,0.1335,0.1335,0
1485,479.26,0.1174,0.1174,0
1486,479.31,0.101,0.101,0
1487,479.36,0.08502,0.08502,0
1488,479.41,0.07003,0.07003,0
1489,479.46,0.056429999999999994,0.056429999999999994,0
1490,479.51,0.0445,0.0445,0
1491,479.56,0.03433,0.03433,0
1492,479.61,0.02592,0.02592,0
1493,479.66,0.01914,0.01914,0
1494,479.71,0.01383,0.01383,0
1495,479.76,0.009781999999999999,0.009781999999999999,0
1496,479.81,0.006768000000000001,0.006768000000000001,0
1497,479.86,0.004582,0.004582,0
1498,479.91,0.003035,0.003035,0
1499,479.96,0.001967,0.001967,0
1500,480.01,0.001247,0.001247,0
1501,480.06,0.0007737,0.0007737,0
1502,480.11,0.00046970000000000003,0.00046970000000000003,0
1503,480.16,0.000279,0.000279,0
1504,480.21,0.0001621,0.0001621,0
1505,480.26,9.218e-05,9.218e-05,0
1506,480.31,5.129e-05,5.129e-05,0
1507,480.36,2.792e-05,2.792e-05,0
1508,480.41,1.487e-05,1.487e-05,0
1509,480.46,7.749e-06,7.749e-06,0
1510,480.51,3.951e-06,3.951e-06,0
