,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3583,406.93,4.929e-19,0,4.929e-19,2.139e-41
3584,406.98,1.4519999999999999e-18,0,1.4519999999999999e-18,4.031e-41
3585,407.03,4.15e-18,0,4.15e-18,7.372999999999999e-41
3586,407.08,1.151e-17,0,1.151e-17,1.3090000000000002e-40
3587,407.13,3.1e-17,0,3.1e-17,2.2539999999999998e-40
3588,407.18,8.102000000000001e-17,0,8.102000000000001e-17,3.7669999999999995e-40
3589,407.23,2.055e-16,0,2.055e-16,6.109e-40
3590,407.28,5.058e-16,0,5.058e-16,9.613999999999998e-40
3591,407.33,1.2080000000000001e-15,0,1.2080000000000001e-15,1.4679999999999998e-39
3592,407.38,2.8010000000000004e-15,0,2.8010000000000004e-15,2.176e-39
3593,407.43,6.303e-15,0,6.303e-15,3.13e-39
3594,407.48,1.376e-14,0,1.376e-14,4.369e-39
3595,407.53,2.917e-14,0,2.917e-14,5.917e-39
3596,407.58,6e-14,0,6e-14,7.776999999999999e-39
3597,407.63,1.198e-13,0,1.198e-13,9.918999999999999e-39
3598,407.68,2.321e-13,0,2.321e-13,1.2279999999999998e-38
3599,407.73,4.363e-13,0,4.363e-13,1.474e-38
3600,407.78,7.962e-13,0,7.962e-13,1.719e-38
3601,407.83,1.4099999999999998e-12,0,1.4099999999999998e-12,1.9439999999999998e-38
3602,407.88,2.4239999999999998e-12,0,2.4239999999999998e-12,2.1330000000000002e-38
3603,407.93,4.0430000000000004e-12,0,4.0430000000000004e-12,2.2719999999999998e-38
3604,407.98,6.546e-12,0,6.546e-12,2.3489999999999997e-38
3605,408.03,1.0289999999999999e-11,0,1.0289999999999999e-11,2.3559999999999996e-38
3606,408.08,1.568e-11,0,1.568e-11,2.2930000000000003e-38
3607,408.13,2.321e-11,0,2.321e-11,2.166e-38
3608,408.18,3.3340000000000005e-11,0,3.3340000000000005e-11,1.985e-38
3609,408.23,4.647999999999999e-11,0,4.647999999999999e-11,1.766e-38
3610,408.28,6.288000000000001e-11,0,6.288000000000001e-11,1.524e-38
3611,408.33,8.256e-11,0,8.256e-11,1.277e-38
3612,408.38,1.052e-10,0,1.052e-10,1.038e-38
3613,408.43,1.301e-10,0,1.301e-10,8.184e-39
3614,408.48,1.562e-10,0,1.562e-10,6.264e-39
3615,408.53,1.819e-10,0,1.819e-10,4.653e-39
3616,408.58,2.0569999999999997e-10,0,2.0569999999999997e-10,3.354e-39
3617,408.63,2.257e-10,0,2.257e-10,2.3459999999999998e-39
3618,408.68,2.4030000000000004e-10,0,2.4030000000000004e-10,1.592e-39
3619,408.73,2.483e-10,0,2.483e-10,1.049e-39
3620,408.78,2.491e-10,0,2.491e-10,6.704999999999999e-40
3621,408.83,2.425e-10,0,2.425e-10,4.159e-40
