Wavelength,Sum

276.7	,1419
276.75	,1675
276.8	,1340
276.85	,1397
276.9	,1455
276.95	,1666
277,	1483
277.05	,1569
277.1	,,1596
277.15	,1734
277.2	,1519
277.25	,1606
277.3	,1158
277.35	,1567
277.4	,1791
277.45	,1232
277.5	,1347
277.55	,1374
277.6	,1605
277.65	,1406
277.7	,1774
277.75	,1460
277.8	,1319
277.85	,1457
277.89	,1611
277.94	,1292
277.99	,1384
278.04	,1196
278.09	,1210
278.14	,1596
278.19	,1466
278.24	,1859
278.29	,1810
278.34	,1344
278.39	,1468
278.44	,1390
278.49	,1233
278.54	,1620
278.59	,1264
278.64	,1407
278.69	,1521
278.74	,1603
278.79	,1644
278.84	,1807
278.89	,1609
278.94	,1541
278.98	,1403
279.03	,1581
279.08	,1397
279.13	,1821
279.18	,1458
279.23	,1350
279.28	,1694
279.33	,1911
279.38	,2082
279.43	,2036
279.48	,1679
279.53	,1638
279.58	,2525
279.63	,3286
279.68	,3046
279.73	,2628
279.78	,2025
279.83	,2005
279.88	,1811
279.92	,1908
279.97	,1626
280.02	,1663
280.07	,1792
280.12	,2118
280.17	,1920
280.22	,1752
280.27	,1959
280.32	,3001
280.37	,2707
280.42	,2463
280.47	,1976
280.52	,1400
280.57	,1516
280.62	,1786
280.67	1,645
280.72	,2327
280.77	,1620
280.81	,1871
280.86	,1943
280.91	,1777
280.96	,1519
281.01	,1703
281.06	,1839
281.11	,1574
281.16	,2240
281.21	,1554
281.26	,1691
281.31	,1674
281.36	,1393
281.41	,1667
281.46	,1903
281.51	,2278
281.55	,2701
281.6	,2449
281.65	,2211
281.7	,3136
281.75	,2833
281.8	,3197
281.85	,2822
281.9	,2644
281.95	,2744
282	,1891
282.05	,1624
282.1	,2090
282.15	,2082
282.2	,1867
282.25	,1931
282.29	,2247
282.34	,1769
282.39	,1904
282.44	,1507
282.49	,2150
282.54	,2133
282.59	,1749
282.64	,2026
282.69	,1840
282.74	,1589
282.79	,1559
282.84	,2240
282.89	,2484
282.94	,1742
282.98	,2187
283.03	,1773
283.08	,1791
283.13	,1692
283.18	,1760
283.23	,1893
283.28	,1249
283.33	,1509
283.38	,1559
283.43	,1862
283.48	,2265
283.53	,1680
283.58	,2009
283.62	,1505
283.67	,1548
283.72	,1520
283.77	,1671
283.82	,1388
283.87	,2079
283.92	,1848
283.97	,2147
284.02	,1413
284.07	,1929
284.12	,1665
284.17	,1491
284.21	,1671
284.26	,1567
284.31	,1818
284.36	,1595
284.41	,1913
284.46	,1968
284.51	,1431
284.56	,1330
284.61	,1447
284.66	,1949
284.71	,1660
284.76	,1630
284.8	,1593
284.85	,1520
284.9	,1456
284.95	,1345
285	,1735
285.05	,1401
285.1	,1870
285.15,1555
285.2	,1822
285.25	,2072
285.3	,2030
285.34	,2016
285.39	,1425
285.44	,1310
285.49	,1558
285.54	,1552
285.59	,1636
285.64	,1801
285.69	,1395
285.74	,1232
285.79	,1282
285.84	,1823
285.88	,1612
285.93	,1494
285.98	,2066
286.03	,1574
286.08	,1511
286.13	,1807
286.18	,2115
286.23	,1714
286.28	,1375
286.33	,2040
286.37	,1309
286.42	,1736
286.47	,1473
286.52	,1718
286.57	,1438
286.62	,2075
286.67	,1354
286.72	,1445
286.77	,1667
286.82	,1470
286.87	,1559
286.91	,1606
286.96	,1520
287.01	,1570
287.06	,1765
287.11	,1432
287.16	,1877
287.21	,1519
287.26	,1441
287.31	,1711
287.35	,1824
287.4	,1269
287.45	,1419
287.5	,1889
287.55	,1757
287.6	,1489
287.65	,1834
287.7	,1828
287.75	,1624
287.8	,1717
287.84	,1312
287.89	,1702
287.94	,1770
287.99	,1647
288.04	,1578
288.09	,1959
288.14	,2223
288.19	,1938
288.24	,1643
288.28	,1608
288.33	,1661
288.38	,2288
288.43	,2187
288.48	,1934
288.53	,2136
288.58	,1691
288.63	,2020
288.68	,1840
288.72	,1499
288.77	,1643
288.82	,1485
288.87	,1589
288.92	,1488
288.97	,1732
289.02	,1675
289.07	,1565
289.12	,2200
289.16	,1751
289.21	,2092
289.26	,1926
289.31	,2224
289.36	,1677
289.41	,1975
289.46	,1605
289.51	,1455
289.55	,1825
289.6	,1856
289.65	,2202
289.7	,1730
289.75	,1398
289.8	,1824
289.85	,1841
289.9	,1781
289.95	,1860
289.99	,1675
290.04	,1731
290.09	,1550
290.14	,1815
290.19	,2000
290.24	,1538
290.29	,1621
290.34	,1740
290.38	,1987
290.43	,1651
290.48	,1685
290.53	,1511
290.58	,1362
290.63	,1660
290.68	,1297
290.73	,1695
290.77	,1651
290.82	,1572
290.87	,1402
290.92	,1533
290.97	,1591
291.02	,1586
291.07	,1566
291.11	,1328
291.16	,2046
291.21	,1910
291.26	,1403
291.31	,1646
291.36	,1994
291.41	,1546
291.46	,1365
291.5	,1804
291.55	,1809
291.6	,1790
291.65	,1761
291.7	,1319
291.75	,1742
291.8	,1823
291.85	,1603
