,Wavelength,Sum,Mean Intensity
849,245.25,60.6,1.2
850,245.31,60.2,1.2
851,245.36,61.3,1.2
852,245.41,55.6,1.1
853,245.46,53.5,1.0
854,245.51,54.8,1.1
855,245.56,57.1,1.1
856,245.61,57.0,1.1
857,245.67,57.8,1.1
858,245.72,59.8,1.2
859,245.77,56.8,1.1
860,245.82,58.0,1.1
861,245.87,56.7,1.1
862,245.92,55.9,1.1
863,245.97,59.2,1.2
864,246.03,63.4,1.3
865,246.08,64.0,1.3
866,246.13,61.8,1.3
867,246.18,62.5,1.3
868,246.23,61.8,1.2
869,246.28,58.1,1.2
870,246.33,59.5,1.2
871,246.39,59.3,1.2
872,246.44,60.7,1.2
873,246.49,59.4,1.2
874,246.54,57.5,1.1
875,246.59,58.2,1.1
876,246.64,54.2,1.1
877,246.69,56.0,1.1
878,246.74,58.2,1.1
879,246.80,60.3,1.2
880,246.85,62.8,1.3
881,246.90,58.1,1.1
882,246.95,59.1,1.2
883,247.00,60.0,1.2
884,247.05,60.3,1.2
885,247.10,54.6,1.1
886,247.16,60.9,1.2
887,247.21,56.8,1.1
888,247.26,57.5,1.1
889,247.31,62.5,1.3
890,247.36,65.5,1.3
891,247.41,64.8,1.3
892,247.46,59.3,1.2
893,247.51,61.0,1.2
894,247.57,61.7,1.2
895,247.62,66.4,1.4
896,247.67,69.9,1.5
897,247.72,68.9,1.4
898,247.77,69.3,1.5
899,247.82,68.7,1.5
900,247.87,69.2,1.4
901,247.93,68.3,1.4
902,247.98,67.1,1.4
903,248.03,66.5,1.4
904,248.08,66.6,1.4
905,248.13,69.8,1.4
906,248.18,64.9,1.3
907,248.23,64.8,1.3
908,248.28,62.7,1.3
909,248.34,64.4,1.3
910,248.39,62.3,1.3
911,248.44,64.8,1.3
912,248.49,57.7,1.2
913,248.54,59.7,1.2
914,248.59,62.8,1.2
915,248.64,62.9,1.3
916,248.69,64.5,1.3
917,248.75,63.9,1.3
918,248.80,61.0,1.2
919,248.85,69.9,1.4
920,248.90,65.2,1.3
921,248.95,67.8,1.4
922,249.00,70.3,1.5
923,249.05,68.4,1.4
924,249.10,68.5,1.4
925,249.15,67.7,1.4
926,249.21,71.5,1.5
927,249.26,69.1,1.4
928,249.31,70.1,1.4
929,249.36,69.2,1.4
930,249.41,69.9,1.4
931,249.46,75.4,1.5
932,249.51,66.9,1.3
933,249.56,68.7,1.5
934,249.62,71.4,1.5
935,249.67,75.9,1.6
936,249.72,72.3,1.5
937,249.77,79.4,1.7
938,249.82,85.6,1.9
939,249.87,82.0,1.8
940,249.92,79.5,1.7
941,249.97,75.6,1.6
942,250.02,75.7,1.6
943,250.08,79.2,1.7
944,250.13,79.9,1.7
945,250.18,83.0,1.8
946,250.23,77.7,1.7
947,250.28,74.9,1.6
948,250.33,80.6,1.7
949,250.38,77.5,1.6
950,250.43,78.9,1.7
951,250.48,79.1,1.7
952,250.54,79.9,1.7
953,250.59,82.4,1.7
954,250.64,83.0,1.8
955,250.69,80.3,1.7
956,250.74,91.0,1.9
957,250.79,90.3,1.9
958,250.84,91.6,2.0
959,250.89,98.0,2.1
960,250.94,103.1,2.2
961,250.99,99.1,2.1
962,251.05,116.3,2.6
963,251.10,119.7,2.7
964,251.15,125.3,2.8
965,251.20,133.9,3.1
966,251.25,145.5,3.4
967,251.30,166.3,3.9
968,251.35,178.9,4.3
969,251.40,216.6,5.4
970,251.45,275.1,7.1
971,251.50,348.0,9.5
972,251.56,382.2,10.9
973,251.61,369.5,10.3
974,251.66,330.1,8.8
975,251.71,271.1,7.0
976,251.76,237.4,5.9
977,251.81,193.1,4.6
978,251.86,175.5,4.1
979,251.91,151.5,3.5
980,251.96,138.0,3.2
981,252.01,130.2,3.0
982,252.07,127.0,2.9
983,252.12,122.0,2.7
984,252.17,128.9,2.9
985,252.22,118.8,2.7
986,252.27,139.9,3.2
987,252.32,164.6,3.9
988,252.37,220.7,5.4
989,252.42,257.5,6.4
990,252.47,334.3,8.4
991,252.52,384.7,9.8
992,252.57,365.9,9.3
