,Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
3267,420.69,4.2789999999999994e-10,0,4.2789999999999994e-10,1.2570000000000001e-15
3268,420.74,1.295e-09,0,1.295e-09,4.67e-16
3269,420.79,3.811e-09,0,3.811e-09,1.686e-16
3270,420.84,1.091e-08,0,1.091e-08,5.913e-17
3271,420.89,3.0380000000000005e-08,0,3.0380000000000005e-08,2.016e-17
3272,420.94,8.23e-08,0,8.23e-08,6.681000000000001e-18
3273,420.99,2.1690000000000002e-07,0,2.1690000000000002e-07,2.1519999999999998e-18
3274,421.04,5.559e-07,0,5.559e-07,6.737000000000001e-19
3275,421.09,1.386e-06,0,1.386e-06,2.0500000000000002e-19
3276,421.14,3.361e-06,0,3.361e-06,6.061000000000001e-20
3277,421.19,7.931e-06,0,7.931e-06,1.742e-20
3278,421.24,1.82e-05,0,1.82e-05,4.8659999999999995e-21
3279,421.29,4.064e-05,0,4.064e-05,1.3210000000000001e-21
3280,421.34,8.827e-05,0,8.827e-05,3.4869999999999997e-22
3281,421.39,0.0001865,0,0.0001865,8.942000000000001e-23
3282,421.44,0.00038339999999999994,0,0.00038339999999999994,2.229e-23
3283,421.49,0.0007667,0,0.0007667,5.4e-24
3284,421.54,0.001492,0,0.001492,0
3285,421.59,0.002823,0,0.002823,0
3286,421.64,0.0051990000000000005,0,0.0051990000000000005,0
3287,421.69,0.009313,0,0.009313,0
3288,421.74,0.01623,0,0.01623,0
3289,421.79,0.027530000000000002,0,0.027530000000000002,0
3290,421.84,0.04542,0,0.04542,0
3291,421.89,0.07291,0,0.07291,0
3292,421.94,0.1139,0,0.1139,0
3293,421.99,0.173,0,0.173,0
3294,422.04,0.2559,0,0.2559,0
3295,422.09,0.3681,0,0.3681,0
3296,422.14,0.5153,0,0.5153,0
3297,422.19,0.7018,0,0.7018,0
3298,422.24,0.9301,0,0.9301,0
3299,422.29,1.199,0,1.199,0
3300,422.34,1.505,0,1.505,0
3301,422.39,1.838,0,1.838,0
3302,422.44,2.184,0,2.184,0
3303,422.49,2.525,0,2.525,0
3304,422.54,2.84,0,2.84,0
3305,422.59,3.109,0,3.109,0
3306,422.64,3.312,0,3.312,0
3307,422.69,3.4339999999999997,0,3.4339999999999997,0
3308,422.74,3.464,0,3.464,0
3309,422.79,3.4,0,3.4,0
3310,422.84,3.248,0,3.248,0
3311,422.89,3.0189999999999997,0,3.0189999999999997,0
3312,422.94,2.7310000000000003,0,2.7310000000000003,0
3313,422.99,2.404,0,2.404,0
3314,423.04,2.059,0,2.059,0
3315,423.09,1.7169999999999999,0,1.7169999999999999,0
3316,423.14,1.392,0,1.392,0
3317,423.19,1.099,0,1.099,0
3318,423.24,0.8442,0,0.8442,0
3319,423.29,0.631,0,0.631,0
3320,423.34,0.4589,0,0.4589,0
3321,423.39,0.3248,0,0.3248,0
3322,423.44,0.2237,0,0.2237,0
3323,423.49,0.1499,0,0.1499,0
3324,423.54,0.09777000000000001,0,0.09777000000000001,0
3325,423.59,0.06204,0,0.06204,0
3326,423.64,0.038310000000000004,0,0.038310000000000004,0
3327,423.69,0.02302,0,0.02302,0
3328,423.74,0.01346,0,0.01346,0
3329,423.79,0.0076549999999999995,0,0.0076549999999999995,0
3330,423.84,0.0042369999999999994,0,0.0042369999999999994,0
3331,423.89,0.002282,0,0.002282,0
3332,423.94,0.001196,0,0.001196,0
3333,423.99,0.0006097,0,0.0006097,0
3334,424.04,0.0003025,0,0.0003025,0
3335,424.09,0.000146,0,0.000146,0
3336,424.14,6.857e-05,0,6.857e-05,0
3337,424.19,3.133e-05,0,3.133e-05,0
3338,424.24,1.393e-05,0,1.393e-05,0
3339,424.29,6.025e-06,0,6.025e-06,0
3340,424.34,2.535e-06,0,2.535e-06,0
3341,424.39,1.038e-06,0,1.038e-06,0
3342,424.44,4.1340000000000004e-07,0,4.1340000000000004e-07,0
3343,424.49,1.602e-07,0,1.602e-07,0
3344,424.54,6.039e-08,0,6.039e-08,0
3345,424.59,2.215e-08,0,2.215e-08,0
3346,424.64,7.902e-09,0,7.902e-09,0
3347,424.69,2.7429999999999997e-09,0,2.7429999999999997e-09,0
3348,424.74,9.260999999999999e-10,0,9.260999999999999e-10,0
3349,424.79,3.042e-10,0,3.042e-10,0
3350,424.84,9.72e-11,0,9.72e-11,0
3351,424.89,3.022e-11,0,3.022e-11,0
3352,424.94,9.137e-12,0,9.137e-12,0
3353,424.99,2.6869999999999998e-12,0,2.6869999999999998e-12,0
3354,425.04,7.69e-13,0,7.69e-13,0
3355,425.09,2.14e-13,0,2.14e-13,0
3356,425.14,5.795e-14,0,5.795e-14,0
3357,425.19,1.526e-14,0,1.526e-14,0
3358,425.24,3.91e-15,0,3.91e-15,0
3359,425.29,9.327e-16,0,9.327e-16,0
3360,425.34,1.6980000000000002e-16,0,1.6980000000000002e-16,0
3361,426.79,1.084e-17,0,1.084e-17,0
3362,426.84,4.3819999999999996e-17,0,4.3819999999999996e-17,0
3363,426.89,1.724e-16,0,1.724e-16,0
3364,426.94,6.598e-16,0,6.598e-16,0
3365,426.99,2.4579999999999997e-15,0,2.4579999999999997e-15,0
3366,427.04,8.913e-15,0,8.913e-15,0
3367,427.09,3.145e-14,0,3.145e-14,0
3368,427.14,1.08e-13,0,1.08e-13,0
3369,427.19,3.611e-13,0,3.611e-13,0
3370,427.24,1.1750000000000001e-12,0,1.1750000000000001e-12,0
3371,427.29,3.719e-12,0,3.719e-12,0
3372,427.34,1.1460000000000002e-11,0,1.1460000000000002e-11,0
3373,427.39,3.437e-11,0,3.437e-11,0
3374,427.44,1.0029999999999999e-10,0,1.0029999999999999e-10,0
3375,427.49,2.85e-10,0,2.85e-10,0
3376,427.54,7.879e-10,0,7.879e-10,0
3377,427.59,2.12e-09,0,2.12e-09,0
3378,427.64,5.551e-09,0,5.551e-09,0
3379,427.69,1.4150000000000001e-08,0,1.4150000000000001e-08,0
3380,427.74,3.5099999999999997e-08,0,3.5099999999999997e-08,0
3381,427.79,8.472999999999999e-08,0,8.472999999999999e-08,0
