,Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
3160,436.24,1.433e-06,0,1.433e-06
3161,436.29,2.8330000000000002e-06,0,2.8330000000000002e-06
3162,436.34,5.456e-06,0,5.456e-06
3163,436.39,1.024e-05,0,1.024e-05
3164,436.44,1.871e-05,0,1.871e-05
3165,436.49,3.333e-05,0,3.333e-05
3166,436.54,5.783e-05,0,5.783e-05
3167,436.59,9.774e-05,0,9.774e-05
3168,436.64,0.000161,0,0.000161
3169,436.69,0.0002582,0,0.0002582
3170,436.74,0.00040360000000000005,0,0.00040360000000000005
3171,436.79,0.0006144999999999999,0,0.0006144999999999999
3172,436.84,0.0009115,0,0.0009115
3173,436.89,0.001317,0,0.001317
3174,436.94,0.001855,0,0.001855
3175,436.99,0.0025440000000000003,0,0.0025440000000000003
3176,437.04,0.003399,0,0.003399
3177,437.09,0.004425,0,0.004425
3178,437.14,0.005612,0,0.005612
3179,437.19,0.006934,0,0.006934
3180,437.24,0.008346,0,0.008346
3181,437.29,0.009788,0,0.009788
3182,437.34,0.011179999999999999,0,0.011179999999999999
3183,437.39,0.01245,0,0.01245
3184,437.44,0.0135,0,0.0135
3185,437.49,0.01426,0,0.01426
3186,437.54,0.014669999999999999,0,0.014669999999999999
3187,437.59,0.014709999999999999,0,0.014709999999999999
3188,437.64,0.014369999999999999,0,0.014369999999999999
3189,437.69,0.013669999999999998,0,0.013669999999999998
3190,437.74,0.01268,0,0.01268
3191,437.79,0.01145,0,0.01145
3192,437.84,0.01007,0,0.01007
3193,437.89,0.008634999999999999,0,0.008634999999999999
3194,437.94,0.0072109999999999995,0,0.0072109999999999995
3195,437.99,0.005867,0,0.005867
3196,438.04,0.00465,0,0.00465
3197,438.09,0.0035909999999999996,0,0.0035909999999999996
3198,438.14,0.0027010000000000003,0,0.0027010000000000003
3199,438.19,0.00198,0,0.00198
3200,438.24,0.001413,0,0.001413
3201,438.29,0.0009832,0,0.0009832
3202,438.34,0.0006663,0,0.0006663
3203,438.39,0.0004399,0,0.0004399
3204,438.44,0.0002829,0,0.0002829
3205,438.49,0.0001773,0,0.0001773
3206,438.54,0.0001082,0,0.0001082
3207,438.59,6.436e-05,0,6.436e-05
