Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
586.19,3.772e+0,,3.772e+0,
586.24,3.756e+0,,3.756e+0,
586.29,3.730e+0,,3.730e+0,
586.34,3.693e+0,,3.693e+0,
586.39,3.643e+0,,3.643e+0,
586.44,3.580e+0,,3.580e+0,
586.49,3.502e+0,,3.502e+0,
586.54,3.411e+0,,3.411e+0,
586.59,3.305e+0,,3.305e+0,
586.64,3.186e+0,,3.186e+0,
586.69,3.053e+0,,3.053e+0,
586.74,2.908e+0,,2.908e+0,
586.79,2.752e+0,,2.752e+0,
586.84,2.585e+0,,2.585e+0,
586.89,2.409e+0,,2.409e+0,
586.94,2.227e+0,,2.227e+0,
586.99,2.040e+0,,2.040e+0,
587.04,1.851e+0,,1.851e+0,
587.09,1.662e+0,,1.662e+0,
587.14,1.477e+0,,1.477e+0,
587.19,1.298e+0,,1.298e+0,
587.24,1.128e+0,,1.128e+0,
587.29,9.679e-1,,9.679e-1,
587.34,8.206e-1,,8.206e-1,
587.39,6.869e-1,,6.869e-1,
587.44,5.677e-1,,5.677e-1,
587.49,4.630e-1,,4.630e-1,
587.54,3.726e-1,,3.726e-1,
587.59,2.958e-1,,2.958e-1,
587.64,2.317e-1,,2.317e-1,
587.69,1.789e-1,,1.789e-1,
587.74,1.363e-1,,1.363e-1,
587.79,1.024e-1,,1.024e-1,
587.84,7.581e-2,,7.581e-2,
587.89,5.536e-2,,5.536e-2,
587.94,3.985e-2,,3.985e-2,
587.99,2.828e-2,,2.828e-2,
588.04,1.978e-2,,1.978e-2,
588.09,1.364e-2,,1.364e-2,
588.14,9.273e-3,,9.273e-3,
588.19,6.213e-3,,6.213e-3,
588.24,4.103e-3,,4.103e-3,
588.29,2.671e-3,,2.671e-3,
588.34,1.714e-3,,1.714e-3,
588.39,1.084e-3,,1.084e-3,
588.44,6.757e-4,,6.757e-4,
588.49,4.151e-4,,4.151e-4,
588.54,2.514e-4,,2.514e-4,
588.59,1.500e-4,,1.500e-4,
588.64,8.826e-5,,8.826e-5,
588.69,5.117e-5,,5.117e-5,
588.74,2.924e-5,,2.924e-5,
588.79,1.647e-5,,1.647e-5,
588.84,9.142e-6,,9.142e-6,
588.89,5.002e-6,,5.002e-6,
588.94,2.697e-6,,2.697e-6,
588.99,1.433e-6,,1.433e-6,
589.04,7.508e-7,,7.508e-7,
589.09,3.876e-7,,3.876e-7,
589.14,1.972e-7,,1.972e-7,
589.19,9.889e-8,,9.889e-8,
589.24,4.887e-8,,4.887e-8,
589.29,2.381e-8,,2.381e-8,
589.34,1.143e-8,,1.143e-8,
589.39,5.408e-9,,5.408e-9,
589.44,2.522e-9,,2.522e-9,
589.49,1.159e-9,,1.159e-9,
589.54,5.252e-10,,5.252e-10,
589.59,2.345e-10,,2.345e-10,
589.64,1.032e-10,,1.032e-10,
589.69,4.475e-11,,4.475e-11,
589.74,1.913e-11,,1.913e-11,
589.79,8.059e-12,,8.059e-12,
589.84,3.346e-12,,3.346e-12,
589.89,1.369e-12,,1.369e-12,
589.94,5.523e-13,,5.523e-13,
589.99,2.195e-13,,2.195e-13,
590.04,8.602e-14,,8.602e-14,
590.09,3.321e-14,,3.321e-14,
590.14,1.264e-14,,1.264e-14,
590.19,4.741e-15,,4.741e-15,
590.24,1.753e-15,,1.753e-15,
590.29,6.386e-16,,6.386e-16,
590.34,1.987e-16,,1.987e-16,
593.59,6.782e-17,,6.782e-17,
593.64,1.853e-16,,1.853e-16,
593.69,4.993e-16,,4.993e-16,
593.74,1.327e-15,,1.327e-15,
593.79,3.476e-15,,3.476e-15,
593.84,8.980e-15,,8.980e-15,
593.89,2.288e-14,,2.288e-14,
593.94,5.746e-14,,5.746e-14,
593.99,1.423e-13,,1.423e-13,
594.04,3.477e-13,,3.477e-13,
594.09,8.374e-13,,8.374e-13,
594.14,1.989e-12,,1.989e-12,
594.19,4.658e-12,,4.658e-12,
594.24,1.076e-11,,1.076e-11,
594.29,2.450e-11,,2.450e-11,
594.34,5.500e-11,,5.500e-11,
594.39,1.218e-10,,1.218e-10,
594.44,2.659e-10,,2.659e-10,
594.49,5.725e-10,,5.725e-10,
594.54,1.216e-9,,1.216e-9,
594.59,2.545e-9,,2.545e-9,
594.64,5.253e-9,,5.253e-9,
594.69,1.069e-8,,1.069e-8,
594.74,2.146e-8,,2.146e-8,
594.79,4.248e-8,,4.248e-8,
594.84,8.292e-8,,8.292e-8,
594.89,1.596e-7,,1.596e-7,
594.94,3.029e-7,,3.029e-7,
594.99,5.668e-7,,5.668e-7,
595.04,1.046e-6,,1.046e-6,
595.09,1.903e-6,,1.903e-6,
595.14,3.415e-6,,3.415e-6,
595.19,6.042e-6,,6.042e-6,
595.24,1.054e-5,,1.054e-5,
595.29,1.813e-5,,1.813e-5,
595.34,3.076e-5,,3.076e-5,
595.39,5.146e-5,,5.146e-5,
595.44,8.489e-5,,8.489e-5,
595.49,1.381e-4,,1.381e-4,
595.54,2.215e-4,,2.215e-4,
595.59,3.503e-4,,3.503e-4,
595.64,5.463e-4,,5.463e-4,
595.69,8.402e-4,,8.402e-4,
595.74,1.274e-3,,1.274e-3,
595.79,1.905e-3,,1.905e-3,
595.84,2.809e-3,,2.809e-3,
595.89,4.085e-3,,4.085e-3,
595.94,5.856e-3,,5.856e-3,
595.99,8.280e-3,,8.280e-3,
596.04,1.154e-2,,1.154e-2,
596.09,1.587e-2,,1.587e-2,
596.14,2.151e-2,,2.151e-2,
596.19,2.875e-2,,2.875e-2,
596.24,3.790e-2,,3.790e-2,
596.29,4.926e-2,,4.926e-2,
596.34,6.313e-2,,6.313e-2,
596.39,7.979e-2,,7.979e-2,
596.44,9.943e-2,,9.943e-2,
596.49,1.222e-1,,1.222e-1,
596.54,1.481e-1,,1.481e-1,
596.59,1.769e-1,,1.769e-1,
596.64,2.085e-1,,2.085e-1,
596.69,2.422e-1,,2.422e-1,
596.74,2.775e-1,,2.775e-1,
596.79,3.135e-1,,3.135e-1,
596.84,3.492e-1,,3.492e-1,
596.89,3.836e-1,,3.836e-1,
596.94,4.155e-1,,4.155e-1,
596.99,4.438e-1,,4.438e-1,
597.04,4.674e-1,,4.674e-1,
597.09,4.855e-1,,4.855e-1,
597.14,4.972e-1,,4.972e-1,
597.19,5.021e-1,,5.021e-1,
597.24,5.000e-1,,5.000e-1,
597.29,4.909e-1,,4.909e-1,
597.34,4.754e-1,,4.754e-1,
597.39,4.539e-1,,4.539e-1,
597.44,4.273e-1,,4.273e-1,
597.49,3.967e-1,,3.967e-1,
597.54,3.632e-1,,3.632e-1,
597.59,3.279e-1,,3.279e-1,
597.64,2.918e-1,,2.918e-1,
597.69,2.562e-1,,2.562e-1,
597.74,2.217e-1,,2.217e-1,
