Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
246.08,4.351e-3,,4.351e-3
246.13,1.478e-2,,1.478e-2
246.18,4.623e-2,,4.623e-2
246.23,1.332e-1,,1.332e-1
246.28,3.537e-1,,3.537e-1
246.33,8.652e-1,,8.652e-1
246.38,1.950e+0,,1.950e+0
246.43,4.047e+0,,4.047e+0
246.48,7.741e+0,,7.741e+0
246.53,1.364e+1,,1.364e+1
246.58,2.216e+1,,2.216e+1
246.63,3.321e+1,,3.321e+1
246.68,4.596e+1,,4.596e+1
246.73,5.895e+1,,5.895e+1
246.78,7.055e+1,,7.055e+1
246.83,7.985e+1,,7.985e+1
246.88,8.765e+1,,8.765e+1
246.93,9.705e+1,,9.705e+1
246.98,1.130e+2,,1.130e+2
247.03,1.409e+2,,1.409e+2
247.08,1.842e+2,,1.842e+2
247.13,2.419e+2,,2.419e+2
247.18,3.073e+2,,3.073e+2
247.23,3.688e+2,,3.688e+2
247.28,4.127e+2,,4.127e+2
247.33,4.280e+2,,4.280e+2
247.38,4.099e+2,,4.099e+2
247.43,3.623e+2,,3.623e+2
247.48,2.952e+2,,2.952e+2
247.53,2.217e+2,,2.217e+2
247.58,1.535e+2,,1.535e+2
247.63,9.790e+1,,9.790e+1
247.68,5.755e+1,,5.755e+1
247.73,3.118e+1,1.366e-12,3.118e+1
247.78,1.558e+1,1.422e-11,1.558e+1
247.83,7.214e+0,1.365e-10,7.214e+0
247.88,3.212e+0,1.210e-9,3.212e+0
247.93,1.715e+0,9.892e-9,1.715e+0
247.98,1.881e+0,7.462e-8,1.881e+0
248.03,3.831e+0,5.194e-7,3.831e+0
248.08,8.674e+0,3.335e-6,8.674e+0
248.13,1.863e+1,1.976e-5,1.863e+1
248.18,3.707e+1,1.080e-4,3.707e+1
248.23,6.810e+1,5.448e-4,6.810e+1
248.28,1.155e+2,2.535e-3,1.155e+2
248.33,1.811e+2,1.089e-2,1.811e+2
248.38,2.629e+2,4.313e-2,2.628e+2
248.43,3.545e+2,1.576e-1,3.544e+2
248.48,4.469e+2,5.316e-1,4.464e+2
248.53,5.323e+2,1.654e+0,5.306e+2
248.58,6.094e+2,4.749e+0,6.046e+2
248.63,6.871e+2,1.258e+1,6.745e+2
248.68,7.842e+2,3.074e+1,7.534e+2
248.73,9.241e+2,6.932e+1,8.548e+2
248.78,1.127e+3,1.442e+2,9.827e+2
248.83,1.402e+3,2.768e+2,1.125e+3
248.88,1.744e+3,4.903e+2,1.253e+3
248.93,2.133e+3,8.012e+2,1.332e+3
248.98,2.540e+3,1.208e+3,1.332e+3
249.03,2.923e+3,1.680e+3,1.243e+3
249.08,3.233e+3,2.157e+3,1.076e+3
249.13,3.416e+3,2.554e+3,8.620e+2
249.18,3.429e+3,2.790e+3,6.383e+2
249.23,3.249e+3,2.813e+3,4.364e+2
249.28,2.892e+3,2.616e+3,2.754e+2
249.33,2.406e+3,2.245e+3,1.604e+2
249.38,1.864e+3,1.778e+3,8.616e+1
249.43,1.341e+3,1.299e+3,4.271e+1
249.48,8.949e+2,8.754e+2,1.953e+1
249.53,5.526e+2,5.444e+2,8.237e+0
249.58,3.156e+2,3.124e+2,3.205e+0
249.63,1.665e+2,1.654e+2,1.151e+0
249.68,8.116e+1,8.078e+1,3.819e-1
249.73,3.653e+1,3.641e+1,1.200e-1
249.78,1.519e+1,1.514e+1,4.722e-2
