Wavelength,Sum
350.28,64
350.32,202
350.37,9
350.41,69
350.45,71
350.5,104
350.54,91
350.59,126
350.63,86
350.67,53
350.72,40
350.76,97
350.81,89
350.85,167
350.89,96
350.94,90
350.98,62
351.03,96
351.07,57
351.11,92
351.16,167
351.2,115
351.25,170
351.29,68
351.34,94
351.38,253
351.42,165
351.47,137
351.51,102
351.56,181
351.6,118
351.64,118
351.69,46
351.73,219
351.78,100
351.82,99
351.86,125
351.91,143
351.95,37
351.99,152
352.04,107
352.08,150
352.13,31
352.17,78
352.21,82
352.26,199
352.3,117
352.35,211
352.39,73
352.43,143
352.48,-5
352.52,140
352.57,63
352.61,172
352.65,35
352.7,-51
352.74,42
352.79,245
352.83,70
352.87,135
352.92,106
352.96,249
353,132
353.05,51
353.09,23
353.14,165
353.18,48
353.22,72
353.27,19
353.31,313
353.36,90
353.4,182
353.44,128
353.49,89
353.53,84
353.57,175
353.62,135
353.66,230
353.71,18
353.75,282
353.79,-5
353.84,173
353.88,7
353.93,239
353.97,83
354.01,345
354.06,66
354.1,149
354.14,31
354.19,171
354.23,62
354.28,185
354.32,154
354.36,277
354.41,117
354.45,199
354.49,98
354.54,435
354.58,118
354.63,130
354.67,93
354.71,401
354.76,69
354.8,219
354.84,105
354.89,428
354.93,142
354.98,502
355.02,117
355.06,478
355.11,222
355.15,485
355.19,183
355.24,366
355.28,261
355.32,519
355.37,176
355.41,501
355.46,299
355.5,422
355.54,329
355.59,484
355.63,238
355.67,423
355.72,355
355.76,770
355.8,256
355.85,813
355.89,217
355.94,747
355.98,265
356.02,736
356.07,456
356.11,600
356.15,329
356.2,680
356.24,340
356.28,512
356.33,870
356.37,824
356.41,844
356.46,854
356.5,444
356.55,1295
356.59,396
356.63,1158
356.68,635
356.72,1436
356.76,803
356.81,1462
356.85,1387
356.89,1719
356.94,1168
356.98,2245
357.02,1243
357.07,2105
357.11,1509
357.15,2444
357.2,1360
357.24,2949
357.29,1522
357.33,2684
357.37,1788
357.42,3504
357.46,2084
357.5,3283
357.55,2630
357.59,3822
357.63,2788
357.68,4016
357.72,2721
357.76,4561
357.81,2963
357.85,4860
357.89,4278
357.94,5390
357.98,4800
358.02,5749
358.07,4424
358.11,6463
358.15,5825
358.2,7528
358.24,6338
358.28,8176
358.33,6741
358.37,9734
358.41,8176
358.46,9895
358.5,9422
358.54,11178
358.59,11207
358.63,12786
358.67,13147
358.72,14877
358.76,12695
358.8,13565
358.85,11671
358.89,12529
358.93,9476
358.98,11031
359.02,8642
359.06,8683
359.11,7380
359.15,7812
359.19,7153
359.24,8145
359.28,5989
359.32,7424
359.37,5400
359.41,5966
359.45,4648
359.5,5554
359.54,4920
359.58,5724
359.63,4617
359.67,4926
359.71,4005
359.76,4362
359.8,2550
359.84,4662
359.89,3593
359.93,4260
359.97,3575
360.02,4143
360.06,2679
360.1,3386
360.15,2966
360.19,3841
360.23,2969
360.28,4225
360.32,2553
360.36,3983
360.41,2280
360.45,3858
360.49,2658
360.54,2764
360.58,2351
360.62,3450
360.66,1777
360.71,3623
360.75,2004
360.79,3303
360.84,1751
360.88,2582
360.92,1633
360.97,2870
361.01,2015
361.05,2621
361.1,1705
361.14,2798
361.18,1683
361.23,2331
361.27,1444
361.31,2446
361.36,1117
361.4,2527
361.44,1561
361.48,1888
361.53,1193
361.57,2452
361.61,1221
361.66,2196
361.7,942
361.74,2070
