Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
443.34,9.299e+1,1.644e-12,9.299e+1,
443.39,9.516e+1,4.846e-13,9.516e+1,
443.44,9.582e+1,1.393e-13,9.582e+1,
443.49,9.481e+1,3.901e-14,9.481e+1,
443.54,9.210e+1,1.065e-14,9.210e+1,
443.59,8.776e+1,2.833e-15,8.776e+1,
443.64,8.199e+1,7.346e-16,8.199e+1,
443.69,7.508e+1,,7.508e+1,
443.74,6.735e+1,,6.735e+1,
443.79,5.919e+1,,5.919e+1,
443.84,5.095e+1,,5.095e+1,
443.89,4.295e+1,,4.295e+1,
443.94,3.546e+1,,3.546e+1,
443.99,2.866e+1,,2.866e+1,
444.04,2.268e+1,,2.268e+1,
444.09,1.756e+1,,1.756e+1,
444.14,1.331e+1,,1.331e+1,
444.19,9.874e+0,,9.874e+0,
444.24,7.164e+0,,7.164e+0,
444.29,5.085e+0,,5.085e+0,
444.34,3.529e+0,,3.529e+0,
444.39,2.395e+0,,2.395e+0,
444.44,1.588e+0,,1.588e+0,
444.49,1.030e+0,,1.030e+0,
444.54,6.521e-1,,6.521e-1,
444.59,4.035e-1,,4.035e-1,
444.64,2.439e-1,,2.439e-1,
444.69,1.439e-1,,1.439e-1,
444.74,8.295e-2,,8.295e-2,
444.79,4.667e-2,,4.667e-2,
444.84,2.563e-2,,2.563e-2,
444.89,1.374e-2,,1.374e-2,
444.94,7.184e-3,,7.184e-3,
444.99,3.667e-3,,3.667e-3,
445.04,1.826e-3,,1.826e-3,
445.09,8.870e-4,,8.870e-4,
